,buy_mean,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,sell_mean,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06
wkRSI[3][2],1.8119881613401266e-14,0.007035377664882251,-0.2232919057690987,-0.03289787383367473,0.045707477385424744,0.07920387996434315,-0.09680206273890203,-1.5056259669930736e-15,-0.059118344185086394,0.2111580281836886,0.058378705343685056,0.046114411999435126,0.013282310942973155,0.12544990007097956
wkBB[3][2],3.350594484170795e-15,0.10436577775052125,0.010827057413101035,-0.09768939093801354,0.03551395217747541,-0.030397506324975326,0.05534808332976825,1.3043390730100423e-15,0.10043216347268911,0.04865070372073151,-0.08476371057614969,-0.026415646453579477,0.015909806654891723,0.13678487192224817
wkATR[3][2],1.9003371701267196e-15,0.13360148139698297,0.050743558751430086,-0.10634283964194494,0.01869627840801678,-0.022217260972266544,-0.013909292232559068,9.6617709111855e-16,0.13046843040798356,0.069294684112595,-0.09206943611266853,0.016590141493233266,-0.0335471781693997,0.014108240600549047
wkSMA[3][3],-2.2087252196648276e-16,-0.005379765301956064,0.2035724367915926,0.06289288227445766,0.035084541284662124,-0.1148858308987811,0.0715889605107099,3.3816198189149246e-16,-0.0738817492806399,0.1700094764180001,0.10501634605411155,-0.043707227451259795,0.03296441607459687,0.1026853168964716
wkRSI[3][3],-4.263256414560601e-15,-0.010659512138492734,-0.18695577258310825,-0.07968213026212013,-0.15689982309448175,0.021549491581896667,0.08122848557136353,1.7254312552225437e-14,-0.05063732022993285,0.18065013227269075,0.10503049665983885,-0.15147363300540181,0.017963533170690892,-0.03190227488911485
wkBB[3][3],9.835078336620742e-16,0.10348240992599231,0.0006027382357639808,-0.11341313325688625,-0.04930171764170732,-0.08466561996322841,-0.08077209953628654,-4.1867673948470494e-16,0.0877460230663253,0.09370106272015456,-0.059920773139022485,-0.025573882692165307,-0.14089741831557812,0.11163846735775002
wkATR[3][3],-1.7336409271331477e-15,0.12539999205754823,0.03416446401914337,-0.12144953493229776,-0.012897411650097071,-0.06506403607935923,-0.12839624890802356,-2.9951489824675044e-15,0.11684038281375572,0.08914848129852554,-0.09346114477782001,0.013722188244641925,-0.1474331159718773,-0.010574460543856587
wkSMA[3][4],9.168293364646454e-17,0.019189242254941286,0.15187182022421233,0.06837510508693317,0.1713412666675892,-0.011176466010401755,-0.20911344849174704,1.6102951518642496e-17,-0.04866826589951677,0.12030538090751651,0.10697039633868898,-0.19894270270252318,0.10350348626971557,-0.10875681603502459
wkRSI[3][4],-3.750665467355367e-15,-0.00788524499347594,-0.09274495579634559,-0.08278047974621708,-0.20910475052251157,-0.14370835213715386,0.15773832990358466,-5.056326776853744e-15,-0.02235920680586752,0.09652146639898972,0.0615335972906431,-0.20006858820823245,-0.05303586968683087,-0.25378882817838233
wkBB[3][4],-3.017201998183651e-15,0.09017278803295838,-0.006801474052624108,-0.10898164385030824,-0.11527243629026197,-0.14372290213583486,-0.0675301746512471,9.500741395999074e-16,0.08183828919250093,0.09492541463855868,-0.05024887336186164,-0.08211525922184584,-0.17602895278273173,-0.11998904957444732
wkATR[3][4],9.835078336620742e-16,0.09762223421267635,0.024265934017075323,-0.11151793070267449,-0.062139565363355374,-0.13589273616622016,-0.17774005319423455,-5.958092061897724e-16,0.0935530052933343,0.08147319252118415,-0.0819847995476105,-0.02393389517488345,-0.21473551327262735,-0.1235711368447719
